speedtest_url,server,idle_latency,idle_latency_unit,idle_jitter,idle_jitter_unit,idle_latency_low,idle_latency_low_unit,idle_latency_high,idle_latency_high_unit,download_speed,download_speed_unit,download_latency,download_latency_unit,download_jitter,download_jitter_unit,download_latency_low,download_latency_low_unit,download_latency_high,download_latency_high_unit,upload_speed,upload_speed_unit,upload_latency,upload_latency_unit,upload_jitter,upload_jitter_unit,upload_latency_low,upload_latency_low_unit,upload_latency_high,upload_latency_high_unit,packet_loss
speedtest.fibronet.co.in,NetronBroadband-Bangalore(id:34768),157.24,ms,0.23,ms,157.21,ms,157.68,ms,70.67,Mbps,257.11,ms,70.20,ms,157.22,ms,579.37,ms,29.47,Mbps,432.58,ms,81.29,ms,164.59,ms,751.39,ms,0.0%
speedtestblr.airtelbroadband.in,NetronBroadband-Bangalore(id:34768),157.61,ms,0.24,ms,157.44,ms,157.90,ms,67.91,Mbps,254.13,ms,69.89,ms,157.89,ms,529.51,ms,29.45,Mbps,419.88,ms,80.81,ms,163.47,ms,746.22,ms,0.0%
103.42.84.254,NetronBroadband-Bangalore(id:34768),154.72,ms,0.16,ms,154.54,ms,154.95,ms,73.09,Mbps,260.86,ms,70.84,ms,157.18,ms,585.23,ms,29.44,Mbps,417.02,ms,80.36,ms,162.04,ms,728.58,ms,0.0%
speedtest.netron.in,NetronBroadband-Bangalore(id:34768),154.79,ms,0.16,ms,154.52,ms,154.94,ms,73.64,Mbps,274.09,ms,72.60,ms,159.69,ms,621.66,ms,29.42,Mbps,440.24,ms,81.04,ms,161.10,ms,762.89,ms,0.0%
bangspeed.hathway.com,NetronBroadband-Bangalore(id:34768),157.30,ms,0.61,ms,157.01,ms,158.35,ms,71.08,Mbps,256.66,ms,70.70,ms,158.36,ms,594.59,ms,29.44,Mbps,443.97,ms,81.24,ms,154.43,ms,729.62,ms,0.0%
speedtest.in2cable.com,NetronBroadband-Bangalore(id:34768),158.73,ms,0.32,ms,158.57,ms,159.04,ms,71.15,Mbps,262.73,ms,71.35,ms,158.10,ms,598.45,ms,29.45,Mbps,434.66,ms,80.95,ms,160.40,ms,740.78,ms,0.0%
speedtest.belltele.in,NetronBroadband-Bangalore(id:34768),157.46,ms,0.13,ms,157.44,ms,157.69,ms,72.50,Mbps,256.71,ms,70.28,ms,158.35,ms,522.40,ms,29.45,Mbps,443.24,ms,81.20,ms,162.94,ms,745.75,ms,0.0%
speedtest.bbnl.in,NetronBroadband-Bangalore(id:34768),158.59,ms,0.26,ms,158.38,ms,158.80,ms,72.89,Mbps,256.26,ms,70.80,ms,158.38,ms,551.90,ms,29.47,Mbps,436.64,ms,81.05,ms,158.82,ms,740.04,ms,0.0%
speedtest.arcnet.in,NetronBroadband-Bangalore(id:34768),157.39,ms,0.22,ms,157.23,ms,157.67,ms,71.98,Mbps,265.53,ms,70.68,ms,159.72,ms,580.01,ms,29.47,Mbps,429.20,ms,80.65,ms,158.26,ms,710.92,ms,0.0%
speedtest.fibronet.in,NetronBroadband-Bangalore(id:34768),157.15,ms,0.13,ms,157.00,ms,157.43,ms,74.25,Mbps,267.67,ms,71.29,ms,159.04,ms,629.35,ms,29.44,Mbps,443.81,ms,81.69,ms,161.23,ms,736.43,ms,0.0%
blrspeedtest.cityonlines.com,NetronBroadband-Bangalore(id:34768),157.53,ms,0.18,ms,157.45,ms,157.90,ms,74.50,Mbps,262.13,ms,71.22,ms,154.91,ms,572.43,ms,29.44,Mbps,449.98,ms,81.78,ms,162.54,ms,758.63,ms,0.0%
speedtest.airwir.com,NetronBroadband-Bangalore(id:34768),158.73,ms,0.46,ms,158.36,ms,159.06,ms,74.03,Mbps,254.20,ms,69.69,ms,154.66,ms,579.09,ms,29.46,Mbps,429.33,ms,81.16,ms,163.79,ms,727.23,ms,0.0%
speedtest.10gbroadband.com,NetronBroadband-Bangalore(id:34768),158.67,ms,0.25,ms,158.38,ms,159.02,ms,72.85,Mbps,270.33,ms,71.93,ms,159.26,ms,595.77,ms,29.47,Mbps,434.68,ms,81.16,ms,164.80,ms,739.96,ms,0.0%
speedtest.ttnetwork.net,NetronBroadband-Bangalore(id:34768),158.43,ms,0.29,ms,158.17,ms,158.80,ms,71.58,Mbps,258.53,ms,70.83,ms,157.21,ms,551.59,ms,29.47,Mbps,437.17,ms,80.97,ms,163.82,ms,755.21,ms,0.0%
speedtestblr.actcorp.in,NetronBroadband-Bangalore(id:34768),158.53,ms,0.38,ms,158.14,ms,158.79,ms,72.57,Mbps,256.25,ms,70.20,ms,154.66,ms,611.59,ms,29.47,Mbps,435.02,ms,81.40,ms,163.21,ms,725.24,ms,0.0%
speedbgl1.jioconnect.com,NetronBroadband-Bangalore(id:34768),157.00,ms,0.10,ms,156.81,ms,157.18,ms,70.34,Mbps,256.03,ms,70.39,ms,159.70,ms,605.72,ms,29.47,Mbps,435.74,ms,81.29,ms,158.88,ms,729.49,ms,0.0%
bangalorespeedtest.spectranet.in,NetronBroadband-Bangalore(id:34768),158.89,ms,0.28,ms,158.59,ms,159.04,ms,74.42,Mbps,264.05,ms,70.57,ms,158.23,ms,601.09,ms,29.59,Mbps,440.23,ms,81.09,ms,160.49,ms,735.79,ms,0.0%
sp1.opto.net.in,NetronBroadband-Bangalore(id:34768),157.38,ms,0.07,ms,157.23,ms,157.46,ms,72.53,Mbps,269.62,ms,72.50,ms,159.02,ms,620.49,ms,29.44,Mbps,438.71,ms,80.96,ms,162.63,ms,760.66,ms,0.0%
speedtest.allnet.co.in,NetronBroadband-Bangalore(id:34768),157.45,ms,0.11,ms,157.23,ms,157.66,ms,72.98,Mbps,262.28,ms,70.88,ms,158.56,ms,606.37,ms,29.47,Mbps,423.53,ms,80.35,ms,162.81,ms,730.90,ms,0.0%
speedtestblr1.rcom.co.in,NetronBroadband-Bangalore(id:34768),154.57,ms,0.18,ms,154.48,ms,154.72,ms,72.73,Mbps,259.84,ms,71.42,ms,159.04,ms,937.59,ms,29.44,Mbps,444.53,ms,81.59,ms,162.96,ms,734.04,ms,0.0%
